time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),weather_code (wmo code)
2024-11-22T00:00,-1.5,85,0.00,71
2024-11-22T01:00,-1.4,83,0.00,3
2024-11-22T02:00,-1.5,86,0.00,3
2024-11-22T03:00,-1.5,89,0.00,71
2024-11-22T04:00,-1.2,89,0.00,77
2024-11-22T05:00,-1.0,89,0.00,3
2024-11-22T06:00,-1.0,90,0.00,71
2024-11-22T07:00,-0.8,82,0.00,71
2024-11-22T08:00,-1.0,80,0.00,2
2024-11-22T09:00,-1.1,82,0.00,85
2024-11-22T10:00,-0.7,85,0.00,85
2024-11-22T11:00,-0.2,83,0.00,85
2024-11-22T12:00,0.3,81,0.00,85
2024-11-22T13:00,0.9,77,0.00,2
2024-11-22T14:00,1.3,72,0.00,3
2024-11-22T15:00,0.9,76,0.00,2
2024-11-22T16:00,0.6,77,0.00,2
2024-11-22T17:00,0.6,79,0.00,3
2024-11-22T18:00,0.9,80,0.00,3
2024-11-22T19:00,0.7,86,0.00,71
2024-11-22T20:00,0.8,86,0.10,71
2024-11-22T21:00,0.8,90,0.20,71
2024-11-22T22:00,1.4,89,0.20,61
2024-11-22T23:00,0.2,77,0.00,1
2024-11-23T00:00,0.0,87,0.00,2
2024-11-23T01:00,0.1,88,0.00,2
2024-11-23T02:00,0.1,90,0.00,2
2024-11-23T03:00,0.1,89,0.00,1
2024-11-23T04:00,0.1,86,0.00,1
2024-11-23T05:00,0.1,85,0.00,2
2024-11-23T06:00,0.2,85,0.00,3
2024-11-23T07:00,0.2,86,0.00,2
2024-11-23T08:00,0.5,86,0.00,3
2024-11-23T09:00,0.8,87,0.00,2
2024-11-23T10:00,1.6,83,0.00,2
2024-11-23T11:00,2.1,77,0.00,2
2024-11-23T12:00,2.5,75,0.00,3
2024-11-23T13:00,2.8,71,0.00,3
2024-11-23T14:00,3.4,66,0.00,3
2024-11-23T15:00,3.0,72,0.00,3
2024-11-23T16:00,2.6,78,0.00,3
2024-11-23T17:00,2.5,81,0.00,3
2024-11-23T18:00,2.3,82,0.00,3
2024-11-23T19:00,2.5,78,0.00,3
2024-11-23T20:00,2.4,74,0.00,3
