date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2024-11-22T00:00:00,2024-11-22T00:00:00,4.566,498.37,5.71,1.854,11.632,10.665,3.344,0.151,0,31.502,54.67,24530.193,1.374,10.38,18.174,31.502,36.58507126177631,63.414928738223686
2024-11-22T01:00:00,2024-11-22T01:00:00,4.496,476.411,5.402,1.858,11.597,10.417,3.37,0.017,0,30.804,54.096,24156.69,2.234,11.772,20.36,30.802999999999997,39.79438265934367,60.20561734065634
2024-11-22T02:00:00,2024-11-22T02:00:00,4.431,449.004,5.364,1.831,11.586,10.148,3.366,0.005,0,30.469,54.303,24012.283,3.868,13.331,23.461,30.468999999999998,43.5026886704988,56.49731132950121
2024-11-22T03:00:00,2024-11-22T03:00:00,4.396,433.416,5.279,1.843,11.569,9.908,3.313,0.001,0,30.071,54.129,23767.436,3.867,15.066,25.172,30.07,45.56677890011223,54.43322109988776
2024-11-22T04:00:00,2024-11-22T04:00:00,4.38,419.044,5.087,1.818,11.69,10.095,3.344,0.011,0,30.228,55.629,23849.5,4.347,16.585,27.130000000000003,30.227,47.30024234182402,52.69975765817598
2024-11-22T05:00:00,2024-11-22T05:00:00,4.37,411.513,4.992,1.846,11.837,10.566,3.335,0.007,0,30.738,56.903,24087.688,3.994,18.022,28.232,30.737000000000005,47.876002645457774,52.12399735454222
2024-11-22T06:00:00,2024-11-22T06:00:00,4.393,396.909,5.227,1.851,11.923,11.947,3.338,0.249,0,32.684,61.565,24868.163,4.179,19.992,30.415,32.684,48.20203172791962,51.79796827208038
2024-11-22T07:00:00,2024-11-22T07:00:00,4.441,384.45,5.351,2.017,11.924,12.915,3.393,0.976,0.053,34.56,65.763,25387.967,4.28,21.175,31.966,34.559,48.0511086057873,51.948891394212694
2024-11-22T08:00:00,2024-11-22T08:00:00,4.51,360.195,5.365,2.031,11.79,12.998,3.703,1.884,1.636,35.741,68.432,25556.579,4.736,22.782,35.695,35.74,49.96850283474487,50.031497165255125
2024-11-22T09:00:00,2024-11-22T09:00:00,4.544,341.945,5.244,2.183,11.743,12.913,3.709,1.732,5.127,35.341,69.283,25387.047,4.495,23.039,39.388000000000005,35.341,52.70778412664428,47.29221587335572
2024-11-22T10:00:00,2024-11-22T10:00:00,4.573,326.156,5.156,2.148,11.791,12.806,3.458,0.898,9.186,34.11,71.152,25140.313,3.599,23.916,43.422,34.109,56.00598470289303,43.99401529710696
2024-11-22T11:00:00,2024-11-22T11:00:00,4.601,307.445,5.119,2.106,11.389,12.305,3.449,0.471,10.69,32.734,72.564,24498.57,3.84,26.184,47.421,32.733,59.16236245227936,40.83763754772063
2024-11-22T12:00:00,2024-11-22T12:00:00,4.62,302.173,5.155,2.12,11.498,11.844,3.446,0.117,8.772,32.06,73.969,24473.474,4.949,28.936,49.397,32.06,60.64181101685552,39.35818898314449
2024-11-22T13:00:00,2024-11-22T13:00:00,4.644,304.331,5.021,2.168,11.534,11.702,3.36,0.198,5.586,31.815,71.359,24232.479,5.286,30.592,48.275999999999996,31.814999999999998,60.2764355545567,39.72356444544331
2024-11-22T14:00:00,2024-11-22T14:00:00,4.629,301.949,4.723,1.873,11.415,12.142,3.41,0.111,3.02,31.802,70.461,23995.27,6.969,31.616,48.107,31.801,60.20298343094559,39.79701656905441
2024-11-22T15:00:00,2024-11-22T15:00:00,4.624,308.596,4.85,1.882,11.532,12.295,3.202,0.141,0.949,32.021,69.596,24100.245,7.318,31.777,46.55,32.019999999999996,59.246531755122824,40.753468244877176
